areaCode,areaName,areaType,date,newDeaths28DaysByDeathDate
K02000001,United Kingdom,overview,2021-03-19,70
K02000001,United Kingdom,overview,2021-03-18,58
K02000001,United Kingdom,overview,2021-03-17,80
K02000001,United Kingdom,overview,2021-03-16,83
K02000001,United Kingdom,overview,2021-03-15,95
K02000001,United Kingdom,overview,2021-03-14,98
K02000001,United Kingdom,overview,2021-03-13,106
K02000001,United Kingdom,overview,2021-03-12,93
K02000001,United Kingdom,overview,2021-03-11,125
K02000001,United Kingdom,overview,2021-03-10,118
K02000001,United Kingdom,overview,2021-03-09,137
K02000001,United Kingdom,overview,2021-03-08,144
K02000001,United Kingdom,overview,2021-03-07,133
K02000001,United Kingdom,overview,2021-03-06,153
K02000001,United Kingdom,overview,2021-03-05,169
K02000001,United Kingdom,overview,2021-03-04,154
K02000001,United Kingdom,overview,2021-03-03,147
K02000001,United Kingdom,overview,2021-03-02,184
K02000001,United Kingdom,overview,2021-03-01,224
K02000001,United Kingdom,overview,2021-02-28,214
K02000001,United Kingdom,overview,2021-02-27,230
K02000001,United Kingdom,overview,2021-02-26,229
K02000001,United Kingdom,overview,2021-02-25,260
K02000001,United Kingdom,overview,2021-02-24,275
K02000001,United Kingdom,overview,2021-02-23,290
K02000001,United Kingdom,overview,2021-02-22,282
K02000001,United Kingdom,overview,2021-02-21,327
K02000001,United Kingdom,overview,2021-02-20,353
K02000001,United Kingdom,overview,2021-02-19,382
K02000001,United Kingdom,overview,2021-02-18,420
K02000001,United Kingdom,overview,2021-02-17,431
K02000001,United Kingdom,overview,2021-02-16,448
K02000001,United Kingdom,overview,2021-02-15,519
K02000001,United Kingdom,overview,2021-02-14,497
K02000001,United Kingdom,overview,2021-02-13,491
K02000001,United Kingdom,overview,2021-02-12,534
K02000001,United Kingdom,overview,2021-02-11,576
K02000001,United Kingdom,overview,2021-02-10,610
K02000001,United Kingdom,overview,2021-02-09,612
K02000001,United Kingdom,overview,2021-02-08,680
K02000001,United Kingdom,overview,2021-02-07,638
K02000001,United Kingdom,overview,2021-02-06,702
K02000001,United Kingdom,overview,2021-02-05,754
K02000001,United Kingdom,overview,2021-02-04,720
K02000001,United Kingdom,overview,2021-02-03,864
K02000001,United Kingdom,overview,2021-02-02,853
K02000001,United Kingdom,overview,2021-02-01,897
K02000001,United Kingdom,overview,2021-01-31,895
K02000001,United Kingdom,overview,2021-01-30,913
K02000001,United Kingdom,overview,2021-01-29,1069
K02000001,United Kingdom,overview,2021-01-28,1112
K02000001,United Kingdom,overview,2021-01-27,1115
K02000001,United Kingdom,overview,2021-01-26,1067
K02000001,United Kingdom,overview,2021-01-25,1169
K02000001,United Kingdom,overview,2021-01-24,1159
K02000001,United Kingdom,overview,2021-01-23,1173
K02000001,United Kingdom,overview,2021-01-22,1247
K02000001,United Kingdom,overview,2021-01-21,1238
K02000001,United Kingdom,overview,2021-01-20,1299
K02000001,United Kingdom,overview,2021-01-19,1366
K02000001,United Kingdom,overview,2021-01-18,1299
K02000001,United Kingdom,overview,2021-01-17,1272
K02000001,United Kingdom,overview,2021-01-16,1310
K02000001,United Kingdom,overview,2021-01-15,1228
K02000001,United Kingdom,overview,2021-01-14,1232
K02000001,United Kingdom,overview,2021-01-13,1220
K02000001,United Kingdom,overview,2021-01-12,1213
K02000001,United Kingdom,overview,2021-01-11,1132
K02000001,United Kingdom,overview,2021-01-10,1099
K02000001,United Kingdom,overview,2021-01-09,1023
K02000001,United Kingdom,overview,2021-01-08,989
K02000001,United Kingdom,overview,2021-01-07,997
K02000001,United Kingdom,overview,2021-01-06,938
K02000001,United Kingdom,overview,2021-01-05,909
K02000001,United Kingdom,overview,2021-01-04,845
K02000001,United Kingdom,overview,2021-01-03,762
K02000001,United Kingdom,overview,2021-01-02,762
K02000001,United Kingdom,overview,2021-01-01,751
K02000001,United Kingdom,overview,2020-12-31,758
K02000001,United Kingdom,overview,2020-12-30,723
K02000001,United Kingdom,overview,2020-12-29,660
K02000001,United Kingdom,overview,2020-12-28,680
K02000001,United Kingdom,overview,2020-12-27,660
K02000001,United Kingdom,overview,2020-12-26,658
K02000001,United Kingdom,overview,2020-12-25,615
K02000001,United Kingdom,overview,2020-12-24,585
K02000001,United Kingdom,overview,2020-12-23,566
K02000001,United Kingdom,overview,2020-12-22,564
K02000001,United Kingdom,overview,2020-12-21,577
K02000001,United Kingdom,overview,2020-12-20,506
K02000001,United Kingdom,overview,2020-12-19,491
K02000001,United Kingdom,overview,2020-12-18,516
K02000001,United Kingdom,overview,2020-12-17,539
K02000001,United Kingdom,overview,2020-12-16,432
K02000001,United Kingdom,overview,2020-12-15,462
K02000001,United Kingdom,overview,2020-12-14,481
K02000001,United Kingdom,overview,2020-12-13,421
K02000001,United Kingdom,overview,2020-12-12,440
K02000001,United Kingdom,overview,2020-12-11,455
K02000001,United Kingdom,overview,2020-12-10,450
K02000001,United Kingdom,overview,2020-12-09,433
K02000001,United Kingdom,overview,2020-12-08,436
K02000001,United Kingdom,overview,2020-12-07,426
K02000001,United Kingdom,overview,2020-12-06,422
K02000001,United Kingdom,overview,2020-12-05,395
K02000001,United Kingdom,overview,2020-12-04,476
K02000001,United Kingdom,overview,2020-12-03,477
K02000001,United Kingdom,overview,2020-12-02,387
K02000001,United Kingdom,overview,2020-12-01,400
K02000001,United Kingdom,overview,2020-11-30,425
K02000001,United Kingdom,overview,2020-11-29,466
K02000001,United Kingdom,overview,2020-11-28,471
K02000001,United Kingdom,overview,2020-11-27,429
K02000001,United Kingdom,overview,2020-11-26,433
K02000001,United Kingdom,overview,2020-11-25,488
K02000001,United Kingdom,overview,2020-11-24,465
K02000001,United Kingdom,overview,2020-11-23,465
K02000001,United Kingdom,overview,2020-11-22,479
K02000001,United Kingdom,overview,2020-11-21,469
K02000001,United Kingdom,overview,2020-11-20,455
K02000001,United Kingdom,overview,2020-11-19,466
K02000001,United Kingdom,overview,2020-11-18,491
K02000001,United Kingdom,overview,2020-11-17,444
K02000001,United Kingdom,overview,2020-11-16,424
K02000001,United Kingdom,overview,2020-11-15,456
K02000001,United Kingdom,overview,2020-11-14,436
K02000001,United Kingdom,overview,2020-11-13,438
K02000001,United Kingdom,overview,2020-11-12,423
K02000001,United Kingdom,overview,2020-11-11,391
K02000001,United Kingdom,overview,2020-11-10,392
K02000001,United Kingdom,overview,2020-11-09,486
K02000001,United Kingdom,overview,2020-11-08,418
K02000001,United Kingdom,overview,2020-11-07,394
K02000001,United Kingdom,overview,2020-11-06,403
K02000001,United Kingdom,overview,2020-11-05,383
K02000001,United Kingdom,overview,2020-11-04,329
K02000001,United Kingdom,overview,2020-11-03,363
K02000001,United Kingdom,overview,2020-11-02,341
K02000001,United Kingdom,overview,2020-11-01,361
K02000001,United Kingdom,overview,2020-10-31,326
K02000001,United Kingdom,overview,2020-10-30,340
K02000001,United Kingdom,overview,2020-10-29,314
K02000001,United Kingdom,overview,2020-10-28,287
K02000001,United Kingdom,overview,2020-10-27,269
K02000001,United Kingdom,overview,2020-10-26,282
K02000001,United Kingdom,overview,2020-10-25,252
K02000001,United Kingdom,overview,2020-10-24,214
